,t,u0,u1,y
7046,42509.0,0.0,2.2843595679012348e-08,
7047,42515.0,0.0,2.2851466049382716e-08,
7048,42521.0,0.0,2.2859336419753084e-08,
7049,42527.0,0.0,2.2867206790123456e-08,
7050,42533.0,0.0,2.2875077160493827e-08,
7051,42539.0,0.0,2.28829475308642e-08,
7052,42545.0,0.0,2.289081790123457e-08,
7053,42551.0,0.0,2.2898688271604935e-08,
7054,42557.0,0.0,2.2906558641975306e-08,
7055,42563.0,0.0,2.2914429012345678e-08,
7056,42569.0,0.0,2.292229938271605e-08,
7057,42575.0,0.0,2.293016975308642e-08,
7058,42581.0,0.0,2.2938040123456792e-08,
7059,42587.0,0.0,2.294591049382716e-08,
7060,42593.0,0.0,2.295378086419753e-08,
7061,42599.0,0.0,2.29616512345679e-08,
7062,42607.0,0.0,2.2972145061728395e-08,
7063,42613.0,0.0,2.2980015432098766e-08,
7064,42617.0,0.0,2.298526234567901e-08,
7065,42623.0,0.0,2.2993132716049382e-08,
7066,42629.0,0.0,2.3001003086419754e-08,
7067,42637.0,0.0,2.3011496913580246e-08,95.0
7068,42641.0,0.0,2.3016743827160497e-08,
7069,42647.0,0.0,2.3024614197530865e-08,
7070,42653.0,0.0,2.3032484567901233e-08,
7071,42659.0,0.0,2.3040354938271604e-08,
7072,42665.0,0.0,2.3048225308641976e-08,
7073,42671.0,0.0,2.3056095679012347e-08,
7074,42677.0,0.0,2.306396604938272e-08,
7075,42683.0,0.0,2.3071836419753083e-08,
7076,42689.0,0.0,2.3079706790123455e-08,
7077,42695.0,0.0,2.3087577160493826e-08,
7078,42701.0,0.0,2.3095447530864198e-08,
7079,42707.0,0.0,2.310331790123457e-08,
7080,42713.0,0.0,2.311118827160494e-08,
7081,42719.0,0.0,2.311905864197531e-08,
7082,42725.0,0.0,2.3126929012345677e-08,
7083,42731.0,0.0,2.313479938271605e-08,
7084,42737.0,0.0,2.314266975308642e-08,
7085,42743.0,0.0,2.315054012345679e-08,
7086,42749.0,0.0,2.315841049382716e-08,
7087,42755.0,0.0,2.316628086419753e-08,
7088,42761.0,0.0,2.3174151234567902e-08,
7089,42767.0,0.0,2.3182021604938274e-08,
7090,42773.0,0.0,2.3189891975308642e-08,
7091,42779.0,0.0,2.319776234567901e-08,
7092,42785.0,0.0,2.320563271604938e-08,
7093,42791.0,0.0,2.3213503086419753e-08,
7094,42797.0,0.0,2.3221373456790125e-08,
7095,42803.0,0.0,2.3229243827160496e-08,
7096,42809.0,0.0,2.323711419753086e-08,
7097,42815.0,0.0,2.3244984567901232e-08,
7098,42821.0,0.0,2.3252854938271604e-08,
7099,42827.0,0.0,2.3260725308641975e-08,
7100,42833.0,0.0,2.3268595679012347e-08,
7101,42839.0,0.0,2.3276466049382718e-08,
7102,42847.0,0.0,2.328695987654321e-08,
7103,42851.0,0.0,2.3292206790123458e-08,
7104,42857.0,0.0,2.3300077160493826e-08,
7105,42863.0,0.0,2.3307947530864197e-08,
7106,42869.0,0.0,2.331581790123457e-08,
7107,42875.0,0.0,2.3323688271604937e-08,
7108,42881.0,0.0,2.3331558641975308e-08,
7109,42887.0,0.0,2.333942901234568e-08,
7110,42893.0,0.0,2.334729938271605e-08,
7111,42899.0,0.0,2.335516975308642e-08,
7112,42905.0,0.0,2.336304012345679e-08,
7113,42911.0,0.0,2.337091049382716e-08,
7114,42917.0,0.0,2.337878086419753e-08,
7115,42923.0,0.0,2.3386651234567902e-08,
7116,42929.0,0.0,2.3394521604938273e-08,
7117,42935.0,0.0,2.3402391975308645e-08,
7118,42941.0,0.0,2.341026234567901e-08,
7119,42947.0,0.0,2.341813271604938e-08,
7120,42953.0,0.0,2.3426003086419752e-08,
7121,42959.0,0.0,2.3433873456790124e-08,
7122,42965.0,0.0,2.3441743827160495e-08,
7123,42971.0,0.0,2.3449614197530864e-08,
7124,42977.0,0.0,2.3457484567901235e-08,
7125,42983.0,0.0,2.3465354938271603e-08,
7126,42989.0,0.0,2.3473225308641975e-08,
7127,42995.0,0.0,2.3481095679012346e-08,
7128,43001.0,0.0,2.3488966049382714e-08,
7129,43007.0,0.0,2.3496836419753086e-08,
7130,43013.0,0.0,2.3504706790123457e-08,
7131,43019.0,0.0,2.351257716049383e-08,
7132,43025.0,0.0,2.35204475308642e-08,
7133,43031.0,0.0,2.3528317901234568e-08,
7134,43037.0,0.0,2.3536188271604936e-08,
7135,43043.0,0.0,2.3544058641975308e-08,
7136,43049.0,0.0,2.355192901234568e-08,
7137,43057.0,0.0,2.356242283950617e-08,
7138,43061.0,0.0,2.3567669753086422e-08,
7139,43067.0,0.0,2.3575540123456787e-08,
7140,43073.0,0.0,2.358341049382716e-08,
7141,43079.0,0.0,2.359128086419753e-08,
7142,43087.0,0.0,2.3601774691358025e-08,
7143,43091.0,0.0,2.3607021604938273e-08,
7144,43099.0,0.0,2.3617515432098765e-08,
7145,43103.0,0.0,2.3622762345679012e-08,
7146,43109.0,0.0,2.363063271604938e-08,
7147,43115.0,0.0,2.3638503086419752e-08,
7148,43121.0,0.0,2.3646373456790123e-08,
7149,43129.0,0.0,2.365686728395062e-08,
7150,43133.0,0.0,2.3662114197530863e-08,
7151,43141.0,0.0,2.367260802469136e-08,
7152,43145.0,0.0,2.3677854938271606e-08,
7153,43151.0,0.0,2.3685725308641977e-08,
7154,43157.0,0.0,2.3693595679012345e-08,
7155,43165.0,0.0,2.370408950617284e-08,
7156,43169.0,0.0,2.3709336419753085e-08,
7157,43175.0,0.0,2.3717206790123457e-08,
7158,43181.0,0.0,2.3725077160493828e-08,
7159,43187.0,0.0,2.37329475308642e-08,
7160,43193.0,0.0,2.3740817901234564e-08,
7161,43201.0,0.0,2.3751311728395063e-08,
7162,43205.0,0.0,2.3756558641975307e-08,
7163,43213.0,0.0,2.3767052469135802e-08,
7164,43217.0,0.0,2.377229938271605e-08,
7165,43225.0,0.0,2.3782793209876542e-08,
7166,43229.0,0.0,2.3788040123456793e-08,
7167,43235.0,0.0,2.379591049382716e-08,
7168,43241.0,0.0,2.380378086419753e-08,
7169,43247.0,0.0,2.38116512345679e-08,
7170,43255.0,0.0,2.3822145061728396e-08,
7171,43259.0,0.0,2.382739197530864e-08,
